prototype,normalization__type,imputation__type,imputation__strategy,imputation__initial_strategy,imputation__imputation_order,features__type,features__n_components,features__k,discretization__type,discretization__threshold,discretization__strategy,discretization__n_bins,discretization__encode,classification__weights,classification__type,classification__splitter,classification__n_neighbors,classification__min_samples_split,classification__min_samples_leaf,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__criterion,accuracy
discretization_features_imputation_normalization_classification,PowerTransformer,SimpleImputer,most_frequent,,,SelectKBest,,2,Binarizer,5.0,,,,,GaussianNB,,,,,,,,,,0.39509803921568626
discretization_imputation_normalization_features_classification,FunctionTransformer,IterativeImputer,,constant,ascending,PCA,2,,KBinsDiscretizer,,quantile,3,onehot,,DecisionTreeClassifier,best,,4,3,,3,1,3,entropy,-inf
imputation_features_normalization_discretization_classification,PowerTransformer,FunctionTransformer,,,,SelectKBest,,2,Binarizer,5.0,,,,uniform,KNeighborsClassifier,,9,,,manhattan,,,,,-inf
features_discretization_imputation_normalization_classification,MinMaxScaler,SimpleImputer,constant,,,PCA,2,,Binarizer,2.0,,,,,GaussianNB,,,,,,,,,,0.6862745098039216
discretization_imputation_normalization_features_classification,MinMaxScaler,SimpleImputer,constant,,,SelectKBest,,3,Binarizer,2.0,,,,,DecisionTreeClassifier,random,,3,4,,2,2,1,gini,-inf
normalization_discretization_imputation_features_classification,FunctionTransformer,IterativeImputer,,most_frequent,arabic,FunctionTransformer,,,KBinsDiscretizer,,quantile,5,ordinal,distance,KNeighborsClassifier,,7,,,manhattan,,,,,-inf
features_imputation_discretization_normalization_classification,MinMaxScaler,FunctionTransformer,,,,PCA,1,,Binarizer,0.0,,,,,GaussianNB,,,,,,,,,,0.6862745098039216
features_imputation_discretization_normalization_classification,FunctionTransformer,IterativeImputer,,constant,ascending,SelectKBest,,1,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,0.7202614379084967
discretization_imputation_features_normalization_classification,FunctionTransformer,IterativeImputer,,most_frequent,arabic,SelectKBest,,3,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,0.9166666666666666
discretization_imputation_normalization_features_classification,FunctionTransformer,IterativeImputer,,most_frequent,ascending,SelectKBest,,1,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,0.7202614379084967
imputation_features_discretization_normalization_classification,FunctionTransformer,IterativeImputer,,most_frequent,ascending,SelectKBest,,3,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,0.9166666666666666
imputation_features_discretization_normalization_classification,FunctionTransformer,IterativeImputer,,constant,ascending,SelectKBest,,2,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,0.8715686274509805
imputation_discretization_features_normalization_classification,FunctionTransformer,IterativeImputer,,constant,ascending,SelectKBest,,3,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,0.9166666666666666
features_normalization_discretization_imputation_classification,FunctionTransformer,IterativeImputer,,most_frequent,roman,SelectKBest,,3,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,-inf
discretization_normalization_imputation_features_classification,FunctionTransformer,IterativeImputer,,constant,roman,SelectKBest,,3,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,0.9166666666666666
discretization_imputation_features_normalization_classification,FunctionTransformer,IterativeImputer,,most_frequent,random,SelectKBest,,2,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,0.8715686274509805
discretization_features_imputation_normalization_classification,FunctionTransformer,IterativeImputer,,constant,ascending,SelectKBest,,3,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,0.9166666666666666
normalization_features_imputation_discretization_classification,FunctionTransformer,IterativeImputer,,most_frequent,ascending,SelectKBest,,2,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,-inf
discretization_features_imputation_normalization_classification,FunctionTransformer,IterativeImputer,,most_frequent,roman,SelectKBest,,2,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,0.8715686274509805
normalization_discretization_features_imputation_classification,FunctionTransformer,IterativeImputer,,constant,random,SelectKBest,,3,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,-inf
features_imputation_normalization_discretization_classification,FunctionTransformer,IterativeImputer,,constant,roman,SelectKBest,,3,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,-inf
imputation_normalization_features_discretization_classification,FunctionTransformer,IterativeImputer,,most_frequent,random,SelectKBest,,2,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,-inf
imputation_normalization_features_discretization_classification,FunctionTransformer,IterativeImputer,,most_frequent,ascending,SelectKBest,,3,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,-inf
features_normalization_discretization_imputation_classification,FunctionTransformer,IterativeImputer,,constant,ascending,SelectKBest,,2,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,-inf
features_discretization_normalization_imputation_classification,FunctionTransformer,IterativeImputer,,most_frequent,random,SelectKBest,,3,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,0.9166666666666666
